Iteration,Technology,Type,Unsafe Recommendation Rate (%),Safety Level
1,Verification-Driven Agentic AI,Innovation,1.76,🟢 High
1,Direct-Prediction AI Systems,Comparison,21.07,🔴 Low
2,Verification-Driven Agentic AI,Innovation,1.99,🟢 High
2,Direct-Prediction AI Systems,Comparison,19.54,🔴 Low
3,Verification-Driven Agentic AI,Innovation,2.37,🟢 High
3,Direct-Prediction AI Systems,Comparison,19.68,🔴 Low
4,Verification-Driven Agentic AI,Innovation,2.65,🟢 High
4,Direct-Prediction AI Systems,Comparison,15.83,🔴 Low
5,Verification-Driven Agentic AI,Innovation,1.38,🟢 High
5,Direct-Prediction AI Systems,Comparison,15.03,🔴 Low
6,Verification-Driven Agentic AI,Innovation,1.8,🟢 High
6,Direct-Prediction AI Systems,Comparison,20.95,🔴 Low
7,Verification-Driven Agentic AI,Innovation,2.97,🟢 High
7,Direct-Prediction AI Systems,Comparison,19.04,🔴 Low
8,Verification-Driven Agentic AI,Innovation,2.36,🟢 High
8,Direct-Prediction AI Systems,Comparison,20.09,🔴 Low
9,Verification-Driven Agentic AI,Innovation,2.73,🟢 High
9,Direct-Prediction AI Systems,Comparison,16.96,🔴 Low
10,Verification-Driven Agentic AI,Innovation,3.57,🟢 High
10,Direct-Prediction AI Systems,Comparison,15.45,🔴 Low
11,Verification-Driven Agentic AI,Innovation,2.37,🟢 High
11,Direct-Prediction AI Systems,Comparison,15.27,🔴 Low
12,Verification-Driven Agentic AI,Innovation,2.35,🟢 High
12,Direct-Prediction AI Systems,Comparison,19.25,🔴 Low
13,Verification-Driven Agentic AI,Innovation,1.67,🟢 High
13,Direct-Prediction AI Systems,Comparison,15.1,🔴 Low
14,Verification-Driven Agentic AI,Innovation,3.52,🟢 High
14,Direct-Prediction AI Systems,Comparison,13.05,🟡 Medium
15,Verification-Driven Agentic AI,Innovation,1.66,🟢 High
15,Direct-Prediction AI Systems,Comparison,16.53,🔴 Low
