Iteration,Technology,Decision Time (sec),Accuracy (%),Efficiency,Efficiency Score
1,HTD,5.86,94.82,70.7,70.7
1,SDP,20.38,82.11,-1.9,-1.9
2,HTD,4.66,95.21,76.7,76.7
2,SDP,19.97,83.02,0.2,0.2
3,HTD,4.53,95.87,77.4,77.4
3,SDP,22.03,81.76,-10.2,-10.2
4,HTD,6.06,96.12,69.7,69.7
4,SDP,24.47,83.45,-22.3,-22.3
5,HTD,7.04,94.91,64.8,64.8
5,SDP,23.87,82.94,-19.4,-19.4
6,HTD,4.42,95.34,77.9,77.9
6,SDP,24.47,81.89,-22.3,-22.3
7,HTD,7.15,94.67,64.3,64.3
7,SDP,24.15,82.37,-20.7,-20.7
8,HTD,7.07,95.02,64.6,64.6
8,SDP,21.41,83.88,-7,-7
9,HTD,7.13,94.58,64.4,64.4
9,SDP,22.91,82.01,-14.6,-14.6
10,HTD,6.3,94.96,68.5,68.5
10,SDP,20.05,81.63,-0.2,-0.2
11,HTD,7.4,95.11,63,63
11,SDP,21.56,81.58,-7.8,-7.8
12,HTD,5.53,96.24,72.3,72.3
12,SDP,24.97,84.12,-24.9,-24.9
13,HTD,7.5,95.93,62.5,62.5
13,SDP,23.92,82.22,-19.6,-19.6
14,HTD,4.86,96.05,75.7,75.7
14,SDP,19.31,83.67,3.5,3.5
15,HTD,6.89,95.18,65.5,65.5
15,SDP,22.64,82.54,-13.2,-13.2
